,5RS7,5RS8,5RS9,5RSB,5RSC
5RS7,0.0,1230.0,1231.0,1140.0,1163.0
5RS8,1230.0,0.0,119.0,360.0,227.0
5RS9,1231.0,119.0,0.0,341.0,212.0
5RSB,1140.0,360.0,341.0,0.0,305.0
5RSC,1163.0,227.0,212.0,305.0,0.0
