pdb_id,CATH_ID
2IBD,1.10.10.60
2IBD,1.10.357.10
1EL5,3.50.50.60
1EL5,3.30.9.10
2WYT,2.60.40.200
1C2K,2.40.10.10
1GDJ,1.10.490.10
1Q4S,3.10.129.10
4H7P,3.40.50.720
4H7P,3.90.110.10
5GMB,3.40.1280.10
3UHQ,1.10.490.10
1YNA,2.60.120.180
3LV5,3.20.20.70
5JMT,3.40.50.300
2UZ1,3.40.50.970
2UZ1,3.40.50.1220
6EQG,3.40.50.1820
1O50,3.10.580.10
4H0B,1.10.490.10
1UTL,2.40.10.10
4LWI,3.30.565.10
4LBA,2.60.40.2410
221L,1.10.530.40
4K0T,3.10.200.10
3T4P,3.40.50.1100
2D4N,2.70.40.10
1NZE,1.20.120.290
3I2Z,2.40.50.140
2R6V,2.30.110.10
1B6T,3.40.50.620
5XHN,1.20.1260.10
4HHL,3.20.20.150
5MFX,3.40.50.300
2XS5,3.30.70.330
2ALF,2.40.100.10
5Y13,2.40.128.20
4I11,2.40.70.10
3TLZ,3.40.50.10740
3TLZ,3.50.30.60
4OPM,3.40.50.1820
5TNY,2.40.10.10
5TNY,2.30.42.10
4P92,3.40.50.1820
5I2E,3.30.428.10
1N99,2.30.42.10
5XVH,3.40.50.720
5XVH,1.10.1040.10
2VVO,3.40.1400.10
2VAG,3.30.200.20
2VAG,1.10.510.10
5BWV,3.30.470.10
5BWV,3.20.10.10
1P1N,3.40.190.10
3QZB,2.60.40.730
3RM7,3.30.200.20
3RM7,1.10.510.10
2YAY,1.20.1680.10
2YAY,1.20.1670.10
1KQ1,2.30.30.100
2Y7I,3.40.190.10
3TEL,3.40.190.10
3TEL,3.40.630.190
6DNB,3.40.640.10
5J34,3.40.718.10
2VOA,3.60.10.10
5BPH,3.40.50.20
5BPH,3.30.470.20
5BPH,3.30.1490.20
2WB6,3.90.1150.90
6GNT,3.40.630.170
1TQG,1.20.120.160
5PRP,1.20.920.10
5EPZ,3.10.130.10
2C1I,3.30.565.50
2C1I,3.90.640.30
2C1I,3.20.20.370
2GCH,2.40.10.10
3LAT,3.40.80.10
1A3O,1.10.490.10
3CO8,2.40.37.10
3CO8,3.20.20.10
4Q5P,1.10.760.10
3PIC,3.40.50.1820
2J9J,2.40.70.10
5CQ7,1.20.920.10
4JEY,3.90.1150.10
4JEY,3.40.640.10
5PKB,2.60.120.650
2CIS,2.70.98.10
3F02,3.30.497.10
3F02,2.30.39.10
3JW9,3.40.640.10
3JW9,3.90.1150.10
1AKY,3.40.50.300
3WQD,2.40.37.20
