UniProtID,BestPDBID(s),BestRfree
A0A023UGN9,6ZJT,0.255
A0A024B7W1,5KVE,0.219
A0A024SC78,4PSC,0.175
A0A059U759,4PVA,0.179
A0A059WZ16,5F46,0.275
A0A060H1D7,6AOA,0.307
A0A060P168,4YOY,0.229
A0A061LQM0,6BA8,0.226
A0A067SLB9,,
A0A068PS59,6K0U,0.221
A0A071LDC0,6JFA,0.275
A0A072ZPM2,,
A0A074Z863,5ZFX,0.18
A0A075B6C4,,
A0A075LQ94,,
A0A075WKW4,,
A0A076NBW8,6AL8,0.249
A0A077JI83,,
A0A087I947,5X0V,0.193
A0A090CRQ5,4Y6C,0.186
A0A090KS30,7AZU,0.238
A0A096P8D3,,
A0A0A0RDR2,6O9Q,0.22
A0A0A7XPH7,,
A0A0A8IBJ8,5B5S,0.199
A0A0B0SG80,,
A0A0B4J279,2BNR,0.222
A0A0B4J2H0,5WKZ,0.225
A0A0B5H9B3,6XOF,0.158
A0A0C5GWS2,6JFX,0.291
A0A0C5XKJ0,6D0I,0.176
A0A0C5XL88,6D0I,0.176
A0A0D6IF67,6A02,0.175
A0A0E1CHI1,,
A0A0E2IV13,6XPH,0.215
A0A0E3K9N8,5ITM,0.321
A0A0E3ZCF3,,
A0A0E4B213,6P4B,0.229
A0A0F6WGE1,,
A0A0G2JF94,,
A0A0G2LB96,,
A0A0H2UN19,4E8C,0.256
A0A0H2UNM7,,
A0A0H2UNQ9,,
A0A0H2UP26,4HQS,0.174
A0A0H2UPA7,5ZKM,0.193
A0A0H2UQ68,1NXP,0.24
A0A0H2UR34,,
A0A0H2URD6,,
A0A0H2URJ7,2HQ0,0.193
A0A0H2US34,2J22,0.257
A0A0H2UWN8,6CKA,0.255
A0A0H2UYY2,3F5S,0.173
A0A0H2WVW5,5TRO,0.246
A0A0H2WY27,6DZ8,0.216
A0A0H2YQB3,,
A0A0H2YSI2,4Q8R,0.245
A0A0H2YST8,4LPL,0.171
A0A0H2ZD27,4DNO,0.205
A0A0H3AFW5,,
A0A0H3AJ04,6IFQ,0.325
A0A0H3C9J4,5Z7I,0.444
A0A0H3CA70,,
A0A0H3FJT8,,
A0A0H3FR62,,
A0A0H3G0N3,5GUS,0.232
A0A0H3GU89,,
A0A0H3H219,4PM6,0.148
A0A0H3JM89,3EIW,0.168
A0A0H3JPM4,3T46,0.272
A0A0H3JRR0,3T8R,0.226
A0A0H3JU78,6JIS,0.241
A0A0H3K0M1,1YN4,0.242
A0A0H3KN52,,
A0A0H3KNC4,4DLM,0.243
A0A0H3M034,,
A0A0H3MBV9,4QFB,0.34
A0A0H3PA01,6WED,0.249
A0A0H3PAQ3,6XJ7,0.292
A0A0H3YGY5,,
A0A0H5BL38,,
A0A0J9WZA6,3PHL,0.199
A0A0J9X1Z5,3WTR,0.195
A0A0K0K1A5,2BNR,0.222
A0A0K6ITW2,6LDL,0.163
A0A0K8P6T7,6IJ5,0.24
A0A0K8P8E7,6QZ3,0.302
A0A0M3KKY6,4UHE,0.166
A0A0M3KL50,6GSC,0.171
A0A0M3KL60,5FJE,0.274
A0A0M3PNA2,5Z7Y,0.273
A0A0M4FJ81,,
A0A0N0D484,,
A0A0N9JNY6,6YHN,0.227
A0A0R5NGA4,5Y5D,0.246
A0A0R5P8X1,5KLC,0.422
A0A0R6L508,5LRM,0.223
A0A0S0VKY7,6H9W,0.223
A0A0S2GKZ1,,
A0A0S2UQQ5,,
A0A0W8ATM9,,
A0A0X1KHD1,5AOB,0.217
A0A0X8GJ44,5YGH,0.284
A0A0Y0DFX2,,
A0A109PTH9,,
A0A125R585,6K7T,0.212
A0A125SA24,5UHJ,0.265
A0A125SA29,5UJP,0.217
A0A140T913,6O51,0.221
A0A140UH31,4V1L,0.182
A0A140UHB4,4Y2K,0.248
A0A142J6I6,6QIN,0.178
A0A173N065,6M4M,0.161
A0A179UGT5,6UAY,0.223
A0A182DW20,4Z3I,0.206
A0A182DWE5,5K9M,0.318
A0A192ICX3,5WUL,0.183
A0A1A5DB13,6BJU,0.225
A0A1A9TAF4,5AOT,0.178
A0A1C9V3S9,5E46,0.211
A0A1D8PNF5,6KNE,0.276
A0A1D8PQ86,,
A0A1E5TT85,5X2J,0.209
A0A1E9VP98,,
A0A1E9VR34,,
A0A1F8A906,7BQJ,0.189
A0A1I9GEP2,5NQM,0.216
A0A1I9GEQ5,5E20,0.202
A0A1J6PBD5,,
A0A1K1L6W4,6NRP,0.175
A0A1L1QJZ7,5GLV,0.2
A0A1L4BKS3,5M1P,0.227
A0A1L5JEG4,,
A0A1P8YXI8,6ZUS,0.221
A0A1Q4NVM7,,
A0A1S1GKD7,6D3V,0.227
A0A1S4NYD4,5FYO,0.173
A0A1S6PUA4,6JJS,0.209
A0A1S9DH83,,
A0A1S9DK56,,
A0A1U7Q1S7,5H0O,0.179
A0A1U9Y7T8,,
A0A1V2W6E8,6H8F,0.229
A0A1V3WIE5,6U3L,0.289
A0A1X9WEN9,6E6U,0.2
A0A1Y1BW66,6KXD,0.215
A0A1Y1BW67,6KXD,0.215
A0A1Y6JJH6,,
A0A1Z0YU25,5K1G,0.25
A0A219C8F5,6UUT,0.202
A0A224AU14,,
A0A246BSD0,,
A0A248QE08,,
A0A256XLS3,,
A0A292DHH8,7BB9,0.255
A0A2D0TC52,5TQZ,0.173
A0A2D1CM82,6SBB,0.232
A0A2D2D0T0,6YDI,0.192
A0A2D2D5X7,6YDI,0.192
A0A2H4TGG5,,
A0A2H4Z949,,
A0A2K6TQH4,7CYB,0.172
A0A2S6PN47,,
A0A2U8UYM6,,
A0A2U8XQ45,5Z7Z,0.26
A0A2X2BLR9,,
A0A2Z5V8U8,5YRI,0.234
A0A2Z5WH92,5ZCD,0.201
A0A344X7M2,6OP6,0.201
A0A369S334,6YLI,0.25
A0A3B6UEQ2,7FBT,0.322
A0A3B6UEU4,6EKE,0.236
A0A3F3RNU4,,
A0A3N4BLI0,3Q1H,0.208
