pdb_id,uniprot_id,protein_family,enzyme_number
2IBD,Q0S7V2,,
2WYT,P00441,Belongs to the Cu-Zn superoxide dismutase family,1.15.1.1
5YDE,Q6P1J9,Belongs to the CDC73 family,
1GDJ,P02240,Belongs to the plant globin family,
4H7P,Q4Q7X6,Belongs to the LDH/MDH superfamily. MDH type 2 family,1.1.1.37
5GMB,A0A072ZPM2,Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family,2.1.1.200
3UHQ,P02213,Belongs to the globin family,
1YNA,O43097,Belongs to the glycosyl hydrolase 11 (cellulase G) family,3.2.1.8
5JMT,A0A024B7W1,,
6EQG,A0A0K8P6T7,Belongs to the AB hydrolase superfamily,3.1.1.101
1O50,Q9X033,,
6SSO,P10153,Belongs to the pancreatic ribonuclease family,4.6.1.18
4H0B,P02185,Belongs to the globin family,
5QUU,O74036,Belongs to the eukaryotic RecA-like protein family,
7OJ7,V9VEF3,Belongs to the picornaviruses polyprotein family,
221L,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
1NZE,P12301,Belongs to the PsbQ family,
3I2Z,Q7CQZ5,,
5T6O,P23608,Belongs to the PHA/PHB synthase family. Type I PhaC subfamily,2.3.1.-
5XHN,P07798,Belongs to the ferritin family,1.16.3.1
4HHL,Q9ZAI3,Belongs to the xylose isomerase family,5.3.1.5
5MFX,A0A146CJH9,,
2XS5,Q64368,Belongs to the RRM DAZ family,
2ALF,P62937,Belongs to the cyclophilin-type PPIase family. PPIase A subfamily,5.2.1.8
5QNG,P0AEG4,Belongs to the thioredoxin family. DsbA subfamily,
5TNY,O43464,Belongs to the peptidase S1C family,3.4.21.108
6ZTB,P22223,,
4P92,P0A114,Belongs to the dienelactone hydrolase family,3.1.1.45
1N99,O00560,,
3QZB,Q9WZC6,Belongs to the desulfoferrodoxin family,1.15.1.2
7BDM,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
7L4V,P17676,Belongs to the bZIP family. C/EBP subfamily,
1KQ1,A0A0H3JV59,Belongs to the Hfq family,
7GT9,P18031,Belongs to the protein-tyrosine phosphatase family. Non-receptor class 1 subfamily,3.1.3.48
