uniprot_id,frequency,pdb_ids
A0A017T5A5,1,6GMF
A0A022MQ12,1,6SJ0
A0A022MRT4,1,6TM4
A0A023DFE8,1,6N9I
A0A023GPI5,1,4CCS
A0A023GUL3,1,5F5L
A0A023J6X7,1,6EIO
A0A023T3X2,1,4V2I
A0A023UGN9,8,"6ETZ,6SE8,6SE9,6SEA,6ZJP,6ZJQ,6ZJT,6ZJU"
A0A023VSF1,1,5BP8
A0A023X3Z4,1,7LQ2
A0A024B7W1,3,"5JMT,5KVE,6LD1"
A0A024FRL9,1,5WIH
A0A024SC78,2,"4PSC,4PSD"
A0A024UZE1,1,5NQF
A0A059Q1L6,1,7KSN
A0A059Q5E8,1,5IQK
A0A059TC02,1,4R1T
A0A059TXD8,1,5M99
A0A059U759,2,"4PVA,4PVI"
A0A059VAZ3,1,7CRA
A0A059WLS9,1,7EWX
A0A059WZ16,2,"5F46,5F47"
A0A060H1D7,3,"6AO9,6AOA,6AOB"
A0A060M4R1,1,7EV5
A0A060P168,2,"4YOR,4YOY"
A0A060TAG5,1,7KD9
A0A060Y6X8,1,5F1S
A0A061LQM0,2,"6BA8,6BA9"
A0A066TYR3,1,7P22
A0A066ZR71,1,5Y34
A0A067E666,1,5MMQ
A0A067HWN0,1,4WXT
A0A067N4E7,1,6FSK
A0A067SLB9,2,"5N4B,5N4D"
A0A067XG63,1,4BRZ
A0A067XG64,1,4C1O
A0A067XG70,1,4L2J
A0A067XG75,1,4N58
A0A067YX61,1,5TRQ
A0A068PC91,1,5Y33
A0A068PS59,6,"6K0M,6K0N,6K0P,6K0Q,6K0S,6K0U"
A0A068QVX9,1,6QSP
A0A068QW34,1,6QSR
A0A068QWX2,1,6QSR
A0A068QZ94,1,6QSP
A0A069CUU9,1,6RIM
A0A069Q9V4,1,7PRG
A0A071LDC0,2,"6JF9,6JFA"
A0A072TMB0,1,6MT1
A0A072U2X9,1,7BGM
A0A072ZPM2,2,"5GMB,5GMC"
A0A074W9U7,1,6UB8
A0A074Z863,4,"5ZFX,5ZG4,5ZG5,5ZGA"
A0A075B5G5,1,4P99
A0A075B5H4,1,4TKL
A0A075B6C4,2,"7N4K,7N5C"
A0A075LQ94,2,"8UCF,8UCG"
A0A075ML49,1,5WPN
A0A075WKW4,2,"8OLD,8OLJ"
A0A076JB57,1,5F4J
A0A076MPD7,1,4YHE
A0A076MY51,1,5NCB
A0A076NBW8,6,"5WPP,5WPR,5WPS,5WPU,6AL7,6AL8"
A0A076U926,1,5JX5
A0A077E909,1,6B1Z
A0A077E919,1,5VIU
A0A077EAN3,1,6AUJ
A0A077EBQ3,1,6WNG
A0A077EDR1,1,6D9N
A0A077EFA5,1,6CY1
A0A077EJG6,1,6OJM
A0A077EJP9,1,7MIW
A0A077ENB9,1,6C46
A0A077EQ93,1,6BZB
A0A077GFB1,1,7KRK
A0A077JBW9,1,5IOJ
A0A077JI83,6,"6LGA,6LGB,6LGD,6LGF,6LGG,6LGH"
A0A077K887,1,4YZK
A0A077KT80,1,6BN3
A0A077LQB4,1,4YY8
A0A078SUX9,1,5UJ6
A0A084JZF2,1,6D2C
A0A085LU44,1,6G9C
A0A085NFU1,1,6V4M
A0A086IRG1,1,8R37
A0A086SLX8,1,5CXK
A0A087I947,4,"5B7D,5B7H,5X0Q,5X0V"
A0A087IWB4,1,5FHK
A0A087LGV4,1,6TGJ
A0A087WNH8,1,4P15
A0A088BCU2,1,5XD0
A0A088CB91,1,4RNC
A0A088FLK9,1,6FHG
A0A089M3R3,1,6P2N
A0A090CRQ5,2,"4Y6C,4Y6W"
A0A090F1W4,1,6WNS
A0A090KI56,1,4R4X
A0A090KS30,3,"6ZTU,6ZU3,7AZU"
A0A091SV96,1,5LUS
A0A094YZ24,1,5YO8
A0A096LNF1,1,4W7I
A0A096P8D3,2,"6IXL,7E2W"
A0A096YGU7,1,6J5F
A0A096ZH83,1,6N0A
A0A096ZHB0,1,6BBW
A0A0A0NH71,1,6P2O
A0A0A0Q7Z8,1,6LC7
A0A0A0RCB5,1,6A2A
A0A0A0RDR2,2,"6A1I,6O9Q"
A0A0A0UVH9,1,6OMP
A0A0A0V023,1,5UNC
A0A0A0VBX4,1,4X9Z
A0A0A0WDC6,1,6KET
A0A0A1EQY0,1,5DNA
A0A0A1NDE2,1,5XXA
A0A0A1VBK6,1,5C9I
A0A0A3XYM8,1,7KYM
A0A0A6YVN3,1,3WVQ
A0A0A6YVN5,1,3WYD
A0A0A6YVN8,1,4Q7I
A0A0A7CJV4,1,5O02
A0A0A7CK57,1,6KY2
A0A0A7I0A5,1,6JKO
A0A0A7KVG3,1,8QB1
A0A0A7XPH7,2,"6K27,6KI8"
A0A0A8IBJ8,2,"5B5L,5B5S"
A0A0A8R8E6,1,6EU8
A0A0B0SG80,6,"7OMV,7OMW,7OMX,7OMY,7OMZ,7ON0"
A0A0B4J185,1,3WNV
A0A0B4J187,1,4RNL
A0A0B4J268,1,6AT6
A0A0B4J271,1,5C0C
A0A0B4J272,1,6CPH
A0A0B4J277,1,4UDT
A0A0B4J279,4,"2BNQ,2BNR,2BNU,4WW1"
A0A0B4J2E0,1,5C0C
A0A0B4J2H0,3,"5C2B,5C6W,5WKZ"
A0A0B4JDC9,1,4Z8A
A0A0B4K6E2,1,3E9T
