pdb_id,CATH_ID
2IBD,1.10.10.60
2IBD,1.10.357.10
2WYT,2.60.40.200
1GDJ,1.10.490.10
4H7P,3.40.50.720
4H7P,3.90.110.10
5GMB,3.40.1280.10
3UHQ,1.10.490.10
1YNA,2.60.120.180
5JMT,3.40.50.300
6EQG,3.40.50.1820
1O50,3.10.580.10
4H0B,1.10.490.10
4LBA,2.60.40.2410
221L,1.10.530.40
1NZE,1.20.120.290
3I2Z,2.40.50.140
5XHN,1.20.1260.10
4HHL,3.20.20.150
5MFX,3.40.50.300
2XS5,3.30.70.330
2ALF,2.40.100.10
4OPM,3.40.50.1820
5TNY,2.40.10.10
5TNY,2.30.42.10
4P92,3.40.50.1820
1N99,2.30.42.10
3QZB,2.60.40.730
1KQ1,2.30.30.100
6DNB,3.40.640.10
5J34,3.40.718.10
2VOA,3.60.10.10
2WB6,3.90.1150.90
1TQG,1.20.120.160
5PRP,1.20.920.10
5EPZ,3.10.130.10
2C1I,3.30.565.50
2C1I,3.90.640.30
2C1I,3.20.20.370
2GCH,2.40.10.10
3LAT,3.40.80.10
1A3O,1.10.490.10
4Q5P,1.10.760.10
2J9J,2.40.70.10
3F02,3.30.497.10
3F02,2.30.39.10
3ZQV,1.20.120.10
2NYC,3.10.580.10
2X4D,3.40.50.1000
2CWM,2.60.120.200
2OL8,2.40.128.160
2OL8,3.90.930.1
5D5K,1.25.10.10
1LFA,3.40.50.410
5HGJ,3.40.50.410
1OFS,2.60.120.200
3ZJH,1.10.490.10
1SNB,3.30.30.10
5P80,2.40.70.10
3TC6,3.20.20.70
1W79,3.40.710.10
1W79,3.50.80.20
1ZVC,2.40.480.10
5KUV,2.40.100.10
4P2K,3.30.200.20
4P2K,1.10.510.10
3DYP,2.60.120.260
3DYP,2.60.40.10
3DYP,3.20.20.80
3DYP,2.70.98.10
5BN2,1.20.1080.10
4IBT,2.60.40.720
1TO1,3.40.50.200
1TO1,3.30.10.10
2BFN,3.40.50.1820
4MJC,3.40.30.10
3IT4,3.60.70.12
3IT4,3.30.2330.10
3IT4,3.10.20.340
4WRV,3.40.470.10
5Z95,3.40.50.1820
3F0Y,2.60.90.10
4NK2,1.10.490.10
5Q4N,3.60.15.10
5Q4N,3.40.50.12650
4O6T,3.30.1500.10
2QB7,3.90.1640.10
2QB7,3.10.310.20
4ETE,1.10.530.10
2AXQ,3.40.50.720
2AXQ,3.30.360.10
2AXQ,1.10.1870.10
2XJ8,1.10.520.10
2XJ8,1.10.420.10
5OM5,3.30.497.10
5OM5,2.30.39.10
