# Using the set of totally conserved waters and the protein Hbond donors/acceptorsfind the difference in the Hbond graph between the apo structure and a ligand bound structure.
PDB,protein-protein broken,protein-protein formed,water-protein broken,water-protein formed
1PXI,77,43,23,24
2A0C,104,63,12,17
3QL8,96,84,28,32
3QQF,92,75,26,28
3QQG,113,60,25,24
3QQH,100,88,30,26
3QQJ,101,65,34,36
3QQK,115,78,25,30
3QQL,94,50,32,37
3QRT,104,76,29,34
3QTQ,107,73,25,31
3QTR,104,91,25,29
3QTS,100,75,22,30
3QTU,114,64,25,25
3QTW,117,73,28,23
3QTX,102,79,25,28
3QTZ,115,67,26,38
3QU0,109,82,28,28
3QWJ,103,68,22,24
3QWK,107,69,27,24
3QX2,86,65,35,37
3QX4,120,59,18,22
3QXO,102,56,27,24
3QXP,101,76,19,26
3QZF,115,64,20,19
3QZG,96,80,20,30
3QZH,112,77,28,31
3QZI,96,81,21,23
3R1Q,98,61,27,26
3R1S,89,68,28,25
3R28,97,72,30,26
3R6X,87,77,30,34
3R71,79,66,35,31
3R73,89,93,28,37
3R7E,90,72,22,22
3R7V,88,77,23,23
3R8U,95,62,18,31
3R8V,96,67,27,31
3R8Z,102,74,24,30
3R9D,103,80,16,31
3R9N,101,63,31,36
3R9O,113,77,14,21
3RAH,102,72,25,31
3RAK,111,81,33,42
3RAL,108,81,37,33
3RJC,114,80,19,26
3RK5,94,77,23,21
3RK7,108,69,27,23
3RK9,103,71,23,30
3RKB,114,70,19,23
3RM7,89,72,24,29
3RMF,102,78,25,37
3RNI,119,85,23,23
3RPR,101,63,31,38
3RPV,102,69,32,40
3RPY,105,74,19,26
3RZB,107,88,13,30
3S00,93,70,16,29
3S0O,105,79,20,25
3SQQ,110,71,29,28
3UNJ,131,71,38,31
4GCJ,111,89,39,33
